State,Agency Name,URL,Counties Served
,Kentucky Legal Aid,https://www.klaid.org/how-we-work,"Allen, Ballard, Barren, Butler, Caldwell, Calloway, Carlisle, Christian, Crittenden, Daviess, Edmonson, Fulton, Graves, Green, Hancock, Hart, Henderson, Hickman, Hopkins, Livingston, Logan, Lyon, McCracken, McLean, Marshall, Metcalfe, Muhlenberg, Ohio, Simpson, Taylor, Todd, Trigg, Union, Warren, Webster"
,Legal Aid of the Bluegrass,https://lablaw.org/apply-here,"Anderson, Bath, Boone, Bourbon, Boyd, Boyle, Bracken, Campbell, Carroll, Carter, Elliott, Fayette, Fleming, Franklin, Gallatin, Grant, Greenup, Harrison, Jessamine, Kenton, Lewis, Mason, Menifee, Mercer, Montgomery, Morgan, Nicholas, Owen, Pendleton, Robertson, Rowan, Scott, Woodford"
,Legal Aid Society,http://www.laslou.org/help-for-clients/i-need-help.html,"Breckinridge, Bullitt, Grayson, Hardin, Henry, Jefferson, Larue, Marion, Meade, Nelson, Oldham, Shelby, Spencer, Trimble, Washington"
LA,Acadiana Legal Service Corporation,https://www.la-law.org/get-help/,"Acadia Parish, Allen Parish, Avoyelles Parish, Beauregard Parish, Bienville Parish, Bossier Parish, Caddo Parish, Calcasieu Parish, Caldwell Parish, Cameron Parish, Catahoula Parish, Claiborne Parish, Concordia Parish, De Soto Parish, East Carroll Parish, Evangeline Parish, Franklin Parish, Grant Parish, Iberia Parish, Jackson Parish, Jefferson Davis Parish, La Salle Parish, Lafayette Parish, Lincoln Parish, Madison Parish, Morehouse Parish, Natchitoches Parish, Ouachita Parish, Rapides Parish, Red River Parish, Richland Parish, Sabine Parish, St. Landry Parish, St. Martin Parish, St. Mary Parish, Tensas Parish, Union Parish, Vermilion Parish, Vernon Parish, Webster Parish, West Carroll Parish, Winn Parish"
,Southeast Louisiana Legal Services Corporation,https://slls.org/get-help/,"Ascension Parish, Assumption Parish, East Baton Rouge Parish, East Feliciana Parish, Iberville Parish, Jefferson Parish, Lafourche Parish, Livingston Parish, Orleans Parish, Plaquemines Parish, Pointe Coupee Parish, St. Bernard Parish, St. Charles Parish, St. Helena Parish, St. James Parish, St. John the Baptist Parish, St. Tammany Parish, Tangipahoa Parish, Terrebonne Parish, Washington Parish, West Baton Rouge Parish, West Feliciana Parish"
ME,"Pine Tree Legal Assistance, Inc.",https://ptla.org/contact-us,All
MD,Maryland Legal Aid,https://mdlaboi.legalserver.org/modules/matter/extern_intake.php?pid=129&h=daa817&,All
MA,"Community Legal Aid, Inc.",https://www.communitylegal.org/get-help/how-get-help,"Berkshire, Franklin, Hampden, Hampshire, Worcester"
,"Northeast Legal Aid, Inc.",http://www.northeastlegalaid.org/request-legal-services,Essex
,South Coastal Counties Legal Services,http://www.sccls.org/contact.asp,"Barnstable, Dukes, Nantucket, Plymouth"
,Volunteer Lawyers Project of the Boston Bar Association,https://vlpnet.org/get-help/,"Middlesex, Norfolk, Suffolk"
MI,Lakeshore Legal Aid,https://lakeshorelegalaid.org/find-legal-help/,"Macomb, Oakland, Wayne"
,Legal Aid of Western Michigan,https://lawestmi.org/i-need-help/,"Allegan, Berrien, Cass, Ionia, Kalamazoo, Kent, Lake, Mason, Mecosta, Montcalm, Muskegon, Newaygo, Oceana, Osceola, Ottawa, St. Joseph, Van Buren"
,Legal Services of Eastern Michigan,http://www.lsem-mi.org/contact-us/,"Arenac, Bay, Clare, Genesee, Gladwin, Gratiot, Huron, Isabella, Lapeer, Midland, Saginaw, St. Clair, Sanilac, Tuscola"
,"Legal Services of Northern Michigan, Inc.",http://www.lsnmirp.org/client.php,"Alcona, Alger, Alpena, Antrim, Baraga, Benzie, Charlevoix, Cheboygan, Chippewa, Crawford, Delta, Dickinson, Emmet, Gogebic, Grand Traverse, Houghton, Iosco, Iron, Kalkaska, Keweenaw, Leelanau, Luce, Mackinac, Manistee, Marquette, Menominee, Missaukee, Montmorency, Ogemaw, Ontonagon, Oscoda, Otsego, Presque Isle, Roscommon, Schoolcraft, Wexford"
